UserId,name,accountcreationdate,Followers,Following,Favorites,Tweets,Lists,Verified,Protected,DefaultProfile,LastPosted
1.27849538848e+18,hocine_mklf,2020-07-02,3,32,6,0,0,0,0,1,
2505739917,Balasanova,2014-04-24,5,14,8,13,0,0,1,1,
1.30303697248e+18,JDCrilly1,2020-09-07,7,22,0,0,0,0,0,1,
1.32493966140e+18,amyinthe,2020-11-07,0,3,0,0,0,0,0,1,
817262696,waynewheeldon1,2012-09-11,0,67,0,1,0,0,1,0,
9.29012697068e+17,Jaimee95x,2017-11-10,23,277,2152,1798,0,0,1,1,
17047447,missclifford,2008-10-29,175,1396,1244,1890,2,0,1,0,
1.32067538116e+18,EmilyAg98758110,2020-10-26,0,7,7,0,0,0,0,1,
1.32208009563e+18,Anubhav01011337,2020-10-30,0,5,1,0,0,0,0,1,
1.32493833824e+18,KomalCh85841955,2020-11-07,0,4,0,0,0,0,0,1,
1.32492523800e+18,maxriley1973,2020-11-07,1,17,3,0,0,0,0,1,
1.32494088680e+18,jmv4lk0,2020-11-07,0,2,0,0,0,0,0,1,
1.32494598615e+18,LvesqueFlixAnt1,2020-11-07,0,122,1,0,0,0,0,1,
1.32493343663e+18,LaurenOcampo10,2020-11-07,3,18,0,0,0,0,0,1,
1.23291542626e+18,r_s_1_8,2020-02-27,168,222,1362,112,0,0,1,1,
224239409,Generalgenius,2010-12-08,0,13,13,1,0,0,1,1,
2535140382,yoh_s10,2014-05-30,127,166,140,837,0,0,1,1,
1.09154061225e+18,mramns,2019-02-02,0,104,8,0,0,0,0,1,
1.32494498384e+18,Jazlyn85817854,2020-11-07,0,2,0,0,0,0,0,1,
7.77335964700e+17,Rocy_79,2016-09-18,0,56,10,0,0,0,0,1,
1.32404845752e+18,fay10268729,2020-11-04,0,3,0,0,0,0,0,1,
1.32478204485e+18,BangsaT41802115,2020-11-06,0,5,0,0,0,0,0,1,
1.32478768672e+18,ChangThTrn1,2020-11-06,0,108,1,0,0,0,0,1,
1.32494490580e+18,jturley0525,2020-11-07,0,18,0,0,0,0,0,1,
842159580,Tb_18,2012-09-23,221,1531,5916,4402,0,0,1,0,
1.31737299699e+18,Muhamma51205682,2020-10-17,3,9,0,0,0,0,0,1,
1.19371800163e+18,LindaNuzzo7,2019-11-11,8,42,584,0,1,0,1,1,
1.32483993883e+18,Z0E0C5T1cSPpTOt,2020-11-06,0,1,2,0,0,0,0,1,
1.18186693889e+18,aqTH7PBePrlk5bQ,2019-10-09,0,1,0,0,0,0,0,1,
1.32493411574e+18,BrandonMoser16,2020-11-07,0,1,0,0,0,0,0,1,
1.30148037236e+18,Ravi12127,2020-09-03,0,6,2,0,0,0,0,1,
1.31154998341e+18,priyank62540292,2020-10-01,2,39,22,0,0,0,0,1,
1040736596,potdunk,2012-12-27,2,28,3,0,0,0,0,1,
1.32449992933e+18,NormaPasillas4,2020-11-05,0,16,2,0,0,0,0,1,
1.32494037574e+18,AnneSwope2,2020-11-07,0,30,0,0,0,0,0,1,
9.21788217229e+17,EliasMwesigwa,2017-10-21,0,6,0,0,0,0,0,1,
1.32494182304e+18,Juan67485554,2020-11-07,0,5,0,0,0,0,0,1,
1.24630143998e+18,Miriams45372363,2020-04-04,0,9,0,0,0,0,0,1,
1.32493471273e+18,Colinhouse8,2020-11-07,0,5,1,0,0,0,0,1,
1.32493206732e+18,wXIIHnMmKGfMq7Z,2020-11-07,0,6,0,0,0,0,0,1,
1.23049945170e+18,amypapcun,2020-02-20,2,15,0,0,0,0,0,1,
1.25251597169e+18,HuynCi8,2020-04-21,2,178,3,0,0,0,1,1,
3742747594,MMurrins,2015-09-22,130,512,1649,164,0,0,1,1,
1.11506437276e+18,LorenaMPangili1,2019-04-08,1,4,0,0,0,0,0,1,
368803738,dionysus_afaris,2011-09-06,0,7,0,0,0,0,0,1,
1.32494382808e+18,Maryann00811857,2020-11-07,0,3,4,0,0,0,0,1,
1.32493301846e+18,SamboTrump,2020-11-07,0,8,0,0,0,0,0,1,
63823467,auria2000,2009-08-07,24,322,1,2,0,0,1,0,
1.32494530842e+18,maihuon36381432,2020-11-07,0,6,0,0,0,0,0,1,
704867068,jambiloti,2013-10-08,20,105,3,11,0,0,1,1,
1.32493513571e+18,bderrickson81,2020-11-07,0,1,0,0,0,0,0,1,
1.26680917144e+18,rodri19420172,2020-05-30,0,20,0,0,0,0,0,1,
1.32457192091e+18,IyeoJuGUd3FnOJM,2020-11-06,0,2,0,0,0,0,0,1,
1.31709146110e+18,Hungg73531067,2020-10-16,0,1,0,0,0,0,0,1,
1.32493410830e+18,huntley_jana,2020-11-07,0,9,0,0,0,0,0,1,
1.29434221897e+18,lathika61905671,2020-08-14,1,28,3,0,0,0,0,1,
1.28224356227e+18,mikeTra33420926,2020-07-12,0,2,0,0,0,0,0,1,
1.32171522575e+18,KimberlyOsbur12,2020-10-29,0,1,6,0,0,0,0,1,
1.32493562799e+18,mamawarby,2020-11-07,0,3,0,0,0,0,0,1,
3154972499,PFGRA1997,2015-04-11,0,86,139,152,0,0,1,0,
1.32258293379e+18,3fVKsNVyBDcjgmC,2020-10-31,0,19,6,0,0,0,0,1,
9.25001243688e+17,jillianlappano,2017-10-30,2,82,704,20,0,0,1,1,
1.24607094849e+18,sally54458398,2020-04-03,22,271,661,133,0,0,1,1,
1.31310645909e+18,Prince26856239,2020-10-05,11,169,1,0,0,0,0,1,
1.32482453451e+18,Elizabe25071351,2020-11-06,0,26,5,0,0,0,0,1,
1.32493771633e+18,Lisa53928990,2020-11-07,0,12,0,0,0,0,0,1,
1.32493096707e+18,DavidSm27810668,2020-11-07,0,2,0,0,0,0,0,1,
1.32492944072e+18,ItaniMeriana,2020-11-07,0,59,0,0,0,0,0,1,
1.32493443372e+18,ASHAN53420860,2020-11-07,0,1,0,0,0,0,0,1,
1.32493667999e+18,KTAKTA40845474,2020-11-07,0,10,0,0,0,0,0,1,
1.26908002801e+18,FlynnSage1,2020-06-06,4,16,1,0,0,0,0,1,
1350170580,FeyisaL,2013-04-13,0,12,0,0,0,0,1,1,
4041629655,AvillargVillar,2015-10-25,0,11,0,0,0,0,0,1,
1.32372941829e+18,Leslie44359989,2020-11-03,0,1,0,0,0,0,0,1,
1.32469786972e+18,ImranIm94815213,2020-11-06,0,49,1,0,0,0,0,1,
1.10530256010e+18,terry20203,2019-03-12,0,21,0,0,0,0,0,1,
1.20372774461e+18,SpursGianni,2019-12-08,22,559,1968,994,0,0,1,1,
1.32469766875e+18,barbara76857563,2020-11-06,0,100,0,0,0,0,0,1,
1.32494401421e+18,maul2k24,2020-11-07,1,9,1,0,0,0,0,1,
1.29195923570e+18,PGantam,2020-08-08,3,16,0,0,0,0,0,1,
1.32482759484e+18,MadaMac6,2020-11-06,1,82,4,0,0,0,0,1,
1.32492650034e+18,ummu_sofea,2020-11-07,0,34,0,0,0,0,1,1,
1.32494670758e+18,AndrewW12198708,2020-11-07,0,10,0,0,0,0,0,1,
8.25751214369e+17,MollieBean66,2017-01-29,13,83,166,53,0,0,1,1,
1.32494359948e+18,BNispel,2020-11-07,0,8,3,0,0,0,0,1,
1.32493513236e+18,CzarNik19,2020-11-07,0,17,0,0,0,0,0,1,
1.32493450364e+18,eX10C63au2trhBx,2020-11-07,0,2,0,0,0,0,0,1,
1.20052768004e+18,pierce_quintin,2019-11-29,4,15,5,0,0,0,0,1,
1.32494264825e+18,ClaraVe47774769,2020-11-07,0,1,0,0,0,0,0,1,
1.32494070038e+18,Binita27996979,2020-11-07,0,2,0,0,0,0,0,1,
1.32487882793e+18,Mohsen59609349,2020-11-07,0,1,0,0,0,0,0,1,
1.30099899890e+18,shanrockshake17,2020-09-02,1,222,115,0,0,0,1,1,
1.32494204993e+18,Patti69705437,2020-11-07,0,3,0,0,0,0,0,1,
153978162,MORRIGNO,2010-06-10,13,38,73,106,1,0,1,0,
27882276,jmgjmg12,2009-03-31,6,92,37,189,0,0,1,0,
1.31332100938e+18,Martin09031931,2020-10-06,0,3,0,0,0,0,0,1,
1.32494113399e+18,Kat20234649,2020-11-07,0,10,0,0,0,0,0,1,
1.32395422429e+18,PBhujel19,2020-11-04,0,8,0,0,0,0,0,1,
1.32493006306e+18,luna_nickie,2020-11-07,0,8,0,0,0,0,0,1,
1907513942,garmisch82,2013-09-26,1,41,0,0,0,0,0,1,
7.65601125127e+17,RBHSBruinsvb,2016-08-16,120,66,272,572,0,0,1,1,
1.25428020191e+18,davesander10,2020-04-26,0,2,0,0,0,0,0,1,
137706452,Wissylobo,2010-04-27,38,101,6,39,0,0,1,0,
1.31668637306e+18,LaiTuan5,2020-10-15,0,2,0,0,0,0,0,1,
1.32452604043e+18,clyde60621699,2020-11-06,1,57,0,0,0,0,0,1,
1.32457562440e+18,Django72991523,2020-11-06,0,2,0,0,0,0,0,1,
1.28577364966e+18,Annales59273502,2020-07-22,0,25,1,0,0,0,0,1,
1.32492959333e+18,hayleybsexton,2020-11-07,0,20,0,0,0,0,1,1,
1.32493464036e+18,guthery_tara,2020-11-07,0,22,9,0,0,0,0,1,
1.32493381491e+18,Rose13697449,2020-11-07,1,1,0,0,0,0,0,1,
1.32493360140e+18,xMiSSxBRiMx,2020-11-07,0,138,4,0,0,0,0,1,
1.32493373454e+18,AnnieCanale2,2020-11-07,2,50,0,0,0,0,0,1,
9.81752551976e+17,gybgdr,2018-04-05,3,136,1251,293,0,0,1,1,
1.32494666378e+18,MNissyrios,2020-11-07,0,10,0,0,0,0,0,1,
1.27065528598e+18,ggggh63136272,2020-06-10,0,13,2,0,0,0,0,1,
1.28758224900e+18,Nick63972967,2020-07-27,0,4,89,68,0,0,1,1,
1.09692985463e+18,Cheylo_ren98,2019-02-17,8,63,33,0,0,0,0,1,
137285835,tjuwais97,2010-04-26,1030,352,31,35821,0,0,1,0,
7.84473379819e+17,GjendemNina,2016-10-07,0,17,0,0,0,0,0,1,
7.58219025403e+17,Double_Face_514,2016-07-27,0,94,669,900,0,0,1,1,
1.32494252627e+18,tuit3721,2020-11-07,0,4,0,0,0,0,0,1,
1.32419994774e+18,madiilynnb,2020-11-05,0,13,0,0,0,0,0,1,
1.14610346556e+18,Marilyn49048737,2019-07-02,0,4,0,0,0,0,0,1,
1.32493939610e+18,Rodrigo68906367,2020-11-07,0,19,0,0,0,0,0,1,
1.29007534205e+18,hh93364535,2020-08-03,0,6,0,0,0,0,0,1,
1.25058149427e+18,Jayda58688033,2020-04-16,0,29,349,0,0,0,0,1,
1.12079364940e+18,vxGp9OSOBftI9ht,2019-04-23,0,6,1,0,0,0,0,1,
57361793,leannecatania,2009-07-16,7,43,1,0,0,0,0,1,
67720768,marcelocap,2009-08-21,2,5,5,0,0,0,0,1,
183091103,sydkania,2010-08-26,936,795,85390,10209,3,0,1,0,
1.12560396558e+18,Abraham10642369,2019-05-07,0,11,1,0,0,0,0,1,
1.32493109076e+18,LindaAl38047508,2020-11-07,1,16,0,0,0,0,0,1,
1.32493441662e+18,Dahaekim6,2020-11-07,0,1,11,0,0,0,0,1,
1.29055295536e+18,Liz75940052,2020-08-04,0,6,11,0,0,0,0,1,
1.32401976764e+18,mcckellan,2020-11-04,0,3,1,0,0,0,0,1,
1.32494443000e+18,NaomiTu85817145,2020-11-07,0,1,0,0,0,0,0,1,
1.32493995546e+18,brookly87716320,2020-11-07,0,8,0,0,0,0,0,1,
1.25561835152e+18,PardeepToor221,2020-04-29,0,3,1,0,0,0,0,1,
7.63868598813e+17,Chuong79487048,2016-08-11,0,3,0,0,0,0,0,1,
1.32493484836e+18,JonathonTsai,2020-11-07,0,2,0,0,0,0,0,1,
1.32462691086e+18,ma_polite,2020-11-06,0,30,1,0,0,0,0,1,
1.32494688856e+18,TxYGjKeRUMfeSY8,2020-11-07,0,2,0,0,0,0,0,1,
1.32493409219e+18,WhatsUp32839868,2020-11-07,0,4,0,0,0,0,0,1,
1695086563,RaCowling,2013-08-23,0,5,0,0,0,0,0,1,
1.32494563375e+18,HiuNguy10012785,2020-11-07,1,8,1,0,0,0,0,1,
1.32494684115e+18,SulgiLee,2020-11-07,1,2,1,0,0,0,0,1,
1.32493495386e+18,IcyGoddessUSA,2020-11-07,1,19,1,0,0,0,0,1,
1.32490693322e+18,silvia46788923,2020-11-07,0,7,2,0,0,0,0,1,
1.32425001180e+18,BonnieHeroux,2020-11-05,0,3,2,0,0,0,0,1,
1.32491558676e+18,kapoor_mehr,2020-11-07,0,9,4,0,0,0,0,1,
1.29213501116e+18,YallahYvens,2020-08-08,0,43,0,0,0,0,0,1,
1.18895184415e+18,LayaliMohamud,2019-10-28,0,5,0,0,0,0,0,1,
1.32476737761e+18,AmtMartelli,2020-11-06,0,3,3,0,0,0,0,1,
1.32492606496e+18,bodnar_christy,2020-11-07,0,20,0,0,0,0,0,1,
1.32493553526e+18,04Truth,2020-11-07,0,10,8,0,0,0,0,1,
614763429,AlejandraFors,2012-06-21,0,10,2,0,0,0,0,1,
1.32446566974e+18,caitlinbroadfo1,2020-11-05,0,2,0,0,0,0,0,1,
1.32493128918e+18,beckysp42781447,2020-11-07,0,17,0,0,0,0,0,1,
1.31964775828e+18,TLqU1V1bfyX1TWA,2020-10-23,0,2,1,0,0,0,0,1,
80875195,jollyb2000,2009-10-08,2,8,7,72,0,0,1,0,
1.32462405705e+18,AjjuBamore,2020-11-06,1,10,2,0,0,0,0,1,
1.32493533290e+18,nichole34519860,2020-11-07,0,1,0,0,0,0,0,1,
1.31426598989e+18,kupinij,2020-10-08,0,53,6,0,0,0,0,1,
9.98309158277e+17,DanielleTochte1,2018-05-20,6,17,0,34,0,0,1,1,
1.28920870098e+18,Leydi17106821,2020-07-31,2,10,1,0,0,0,0,1,
3725644818,manikandan_____,2015-09-29,20,129,15,0,0,0,0,1,
481258797,y451rnur,2012-02-02,10,299,32,83,0,0,1,1,
1.32493470791e+18,KurianJ59710961,2020-11-07,0,17,0,0,0,0,0,1,
132337900,cjvanbc,2010-04-12,2,31,0,0,0,0,0,1,
1.31434467177e+18,kygfMpJ4V9fJAPQ,2020-10-08,5,26,0,0,0,0,0,1,
1.28889791113e+18,DalviSnigdha,2020-07-30,0,8,0,0,0,0,0,1,
1.32493446349e+18,Whitley47340769,2020-11-07,0,11,0,0,0,0,0,1,
1.32493901578e+18,AsadIqubal5,2020-11-07,0,8,0,0,0,0,0,1,
1.32493090475e+18,cancercrabmoon,2020-11-07,0,6,0,0,0,0,0,1,
1.32493845828e+18,AnaleeSchaffer,2020-11-07,0,14,6,0,0,0,0,1,
1.32472651638e+18,QKhuatt,2020-11-06,1,35,3,0,0,0,0,1,
53149516,KalagherMelissa,2009-07-02,0,188,38,0,0,0,1,1,
1.32494698606e+18,MuslemUddinKha3,2020-11-07,1,87,0,0,0,0,0,1,
1.31116890885e+18,Kh_Maria85,2020-09-30,1,29,0,0,0,0,0,1,
1.32493131716e+18,MadameHolm,2020-11-07,0,62,16,0,0,0,0,1,
1.32428246386e+18,Red77540679,2020-11-05,1,17,26,0,0,0,0,1,
1.32494839572e+18,ChrisPatrickHa5,2020-11-07,0,20,0,0,0,0,0,1,
9.06507385300e+17,HarcourtScott,2017-09-09,0,98,194,0,0,0,1,1,
1.32377766418e+18,FalKay7,2020-11-04,3,39,2,0,0,0,0,1,
1.32437310800e+18,Edwin30460221,2020-11-05,0,5,0,0,0,0,0,1,
1.20468234213e+18,DonovanSilviu,2019-12-11,0,60,0,0,0,0,0,1,
1.26803523755e+18,jadehan20,2020-06-03,0,16,0,0,0,0,1,1,
1.32492690625e+18,WRamedies,2020-11-07,1,107,0,0,0,0,0,1,
1.32493518249e+18,Wyatt03912945,2020-11-07,0,99,12,0,0,0,0,1,
3336987747,AccailianGG,2015-06-20,3,47,3,0,0,0,0,1,
1.32494690901e+18,wit77354422,2020-11-07,0,3,0,0,0,0,0,1,
1.32089277658e+18,8kkbbhLlluhAiHU,2020-10-27,0,1,0,0,0,0,0,1,
1.32493895948e+18,Long89679971,2020-11-07,0,1,0,0,0,0,0,1,
1.32383733000e+18,burning5141,2020-11-04,0,1,0,0,0,0,0,1,
1.32494034162e+18,Wendy65754166,2020-11-07,0,3,0,0,0,0,0,1,
3229439528,cfiveo715,2015-05-29,10,150,11,0,0,0,0,1,
1.32493608730e+18,DanielM07929625,2020-11-07,0,4,1,0,0,0,0,1,
1.32490403018e+18,ChadBru62554629,2020-11-07,0,11,0,0,0,0,0,1,
1.17621664233e+18,9otwlkuwait,2019-09-23,1,187,59,788,0,0,1,1,
1.32494748683e+18,NeherKaleb,2020-11-07,0,13,2,0,0,0,0,1,
1.32493624792e+18,mmfw7,2020-11-07,0,21,6,0,0,0,0,1,
1.32387107438e+18,Elle37833343,2020-11-04,0,8,2,0,0,0,0,1,
1.26798267197e+18,EleDonnelly,2020-06-03,1,57,18,0,0,0,0,1,
9.33076149274e+17,Mutch11240117,2017-11-21,2,35,1172,0,0,0,0,1,
1.32450956373e+18,Myles28900583,2020-11-06,0,22,0,0,0,0,0,1,
1.32456014191e+18,jenkirk54758828,2020-11-06,0,7,0,0,0,0,0,1,
1.32493373359e+18,Nelli15589215,2020-11-07,0,1,53,0,0,0,0,1,
1.32494006363e+18,RightModern,2020-11-07,0,36,0,0,0,0,0,1,
1.32474640306e+18,shaw_ryland,2020-11-06,0,1,0,0,0,0,0,1,
1.32494264431e+18,Alanjarvie1,2020-11-07,1,4,0,0,0,0,0,1,
2329606735,seyed_morteza,2014-02-06,1,2,41,0,0,0,0,1,
1.31651492052e+18,carly39392,2020-10-14,0,37,182,0,0,0,0,1,
9.17630209780e+17,nj_cookies,2017-10-10,0,18,27,1,0,0,1,1,
1.06908066331e+18,c_lijun,2018-12-02,0,15,19,0,0,0,0,1,
1.32493602369e+18,SunNigh22467010,2020-11-07,0,4,0,0,0,0,0,1,
1.32492426851e+18,mayatagala,2020-11-07,0,8,0,0,0,0,0,1,
1.32494702092e+18,DMemes2020,2020-11-07,0,20,0,0,0,0,0,1,
922495404,rzub1012,2012-11-03,20,240,33,457,0,0,1,1,
1.32494012909e+18,BlacksonLori,2020-11-07,0,13,0,0,0,0,0,1,
1.32494785686e+18,MT07699946,2020-11-07,0,1,0,0,0,0,0,1,
31706343,MariaPekkari,2009-04-16,442,462,17722,10997,11,0,1,0,
