supermarket,week,niveaSales,niveaPrice,niveaRPrice,niveaDisplay,niveaFeature,niveaDisplayFeature,doveSales,dovePrice,doveRPrice,doveDisplay,doveFeature,doveDisplayFeature,axeSales,axePrice,axeRPrice,axeDisplay,axeFeature,axeDisplayFeature,rexonaSales,rexonaPrice,rexonaRPrice,rexonaDisplay,rexonaFeature,rexonaDisplayFeature
OKay,"2020, week 046",25.71,4.259509918319719,4.259509918319719,0,.04,.03,28.93,3.886519184237816,3.886519184237816,.02,.05,.05,90.68000000000001,3.574426554918394,3.574385769872151,.02,.05,.03,58.14,3.88703130374957,3.88703130374957,0,.06,.06
OKay,"2020, week 047",32.17,4.198632266086416,4.247946084724005,.01,.15,.22,30.15,3.884908789386401,3.884908789386401,.02,.01,.03,106.33,3.574052478134111,3.574436958614053,.02,.1,.03,64.31999999999999,3.886256218905474,3.886256218905474,.04,.02,.03
OKay,"2020, week 048",27.5,4.262581818181818,4.262581818181818,.03,.03,.02,32.41,3.887164455414996,3.887164455414996,.04,.01,.04,97.83,3.574568128385976,3.573993808049536,.05,0,0,64.54000000000001,3.886504493337465,3.886504493337465,0,0,0
OKay,"2020, week 049",27.87,4.195263724434876,4.243777777777778,.01,.01,.01,33.16,3.885886610373945,3.885886610373945,.03,.02,.07,110.19,3.571785098466286,3.57418877692521,.06,.04,.04,63.09,3.886812490093517,3.886812490093517,.01,.11,.02
OKay,"2020, week 050",56.55,3.586896551724138,4.052788844621516,.31,0,0,35.72,2.586170212765958,2.555172413793088,.05,.04,.06,81.48,3.574840451644576,3.574840451644576,.02,.02,.02,71.81,2.586965603676368,2.6,.05,.04,.01
OKay,"2020, week 051",55.46,3.6360620266859,4.068831168831168,.27,0,0,34.84,2.584328358208955,2.599999999999989,.05,0,0,86.2,3.573190255220418,3.574128483152618,.04,0,0,76.5,2.585045751633987,2.583544303797464,0,0,0
OKay,"2020, week 052",29.99,4.254584861620541,4.261650815217391,.01,0,0,38.6,2.58720207253886,2.595987654320987,.03,0,0,144.69,2.857502246181491,3.071814671814659,.29,0,0,79.97,2.586995123171189,2.586868686868689,.01,0,0
OKay,"2020, week 053",24.27,4.247095179233622,4.252980132450331,.01,.05,.01,40.75,2.587239263803681,2.590032858707557,.03,0,0,117.5,2.887217021276595,2.81162790697673,.29,0,0,76.31,2.586712095400341,2.586798503474077,0,0,0
OKay,"2021, week 001",29.54,4.259546377792824,4.259546377792824,.01,0,0,45.8,2.583537117903931,2.587480849201139,.02,0,.01,94.5,3.496518518518519,3.564106978879707,.02,0,0,730.43,1.988558794134962,0,0,.43,.34
OKay,"2021, week 002",68.59,2.67600233270156,2.914418604651151,.28,0,0,45.36,2.558730158730159,2.558730158730159,.01,.01,.02,111.35,3.315671306690616,3.52232152708816,0,0,0,80.40000000000001,2.57089552238806,2.596853146853147,.03,0,0
